,Hoy,SD_Angle,SD_Position
0,8,52,-0.08
1,9,89,-0.06
2,10,6,-0.12
3,11,1,0.12
4,12,33,0.14
5,13,59,-0.04
6,14,17,-0.1
7,15,7,-0.09
8,16,0,-0.02
9,32,5,0.04
10,33,74,0
11,34,7,0.14
12,35,37,0.02
13,36,54,0.09
14,37,85,-0.02
15,38,40,-0.13
16,39,50,0
17,40,46,0.05
18,56,26,-0.07
19,57,16,0.02
20,58,32,0.13
21,59,5,0.11
22,60,89,0.12
23,61,90,0.03
24,62,37,-0.03
25,63,60,-0.04
26,64,59,-0.04
27,65,27,0.08
28,80,66,-0.05
29,81,42,-0.05
30,82,67,-0.1
31,83,46,-0.01
32,84,86,-0.07
33,85,84,0.12
34,86,0,-0.06
35,87,59,0
36,88,38,-0.08
37,89,32,0.06
38,104,0,-0.09
39,105,83,0.03
40,106,49,-0.05
41,107,34,0.12
42,108,8,0.1
43,109,23,0.03
44,110,70,-0.03
45,111,43,0.05
46,112,36,0.03
47,113,34,-0.05
48,128,72,0
49,129,53,-0.03
50,130,29,0.13
51,131,75,-0.06
52,132,4,0.08
53,133,87,0
54,134,34,0
55,135,0,-0.09
56,136,26,-0.07
57,137,50,0.06
58,152,78,-0.05
59,153,44,-0.06
60,154,76,-0.02
61,155,47,0.01
62,156,41,-0.05
63,157,59,0.05
64,158,7,0.01
65,159,67,0.02
66,160,42,0.04
67,161,37,0.05
68,176,19,-0.07
69,177,63,0
70,178,60,-0.08
71,179,53,-0.06
72,180,70,-0.08
73,181,28,0.1
74,182,34,0.02
75,183,18,-0.02
76,184,86,-0.09
77,185,66,-0.04
78,200,7,0.05
79,201,18,-0.02
80,202,65,-0.05
81,203,42,0.13
82,204,68,0.14
83,205,77,0.1
84,206,35,0.01
85,207,8,-0.05
86,208,84,-0.08
87,209,49,0.08
88,224,44,-0.03
89,225,50,-0.04
90,226,77,0.11
91,227,74,-0.06
92,228,36,-0.02
93,229,44,-0.01
94,230,15,-0.02
95,231,56,-0.03
96,232,21,-0.02
97,233,52,0
98,248,45,-0.05
99,249,53,0.12
100,250,38,-0.03
101,251,53,-0.07
102,252,46,0.08
103,253,20,-0.05
104,254,50,-0.03
105,255,47,0.03
106,256,16,-0.04
107,257,67,0.04
108,272,68,-0.1
109,273,64,-0.12
110,274,48,-0.06
111,275,84,-0.12
112,276,22,-0.12
113,277,5,-0.04
114,278,50,0.14
115,279,14,-0.04
116,280,36,-0.04
117,281,24,-0.07
118,296,75,-0.05
119,297,74,-0.09
120,298,38,-0.04
121,299,39,0.01
122,300,21,0.11
123,301,27,0.12
124,302,32,0.13
125,303,33,0.05
126,304,74,0.03
127,305,36,0.09
128,320,56,0.01
129,321,29,-0.04
130,322,24,0.03
131,323,16,-0.13
132,324,48,-0.03
133,325,14,0.02
134,326,48,-0.07
135,327,67,0.04
136,328,22,0.06
137,329,10,0.02
